FBI1;FBI2;FBI3;FBI4;FBI5;FBI6;FBI7;FBI8;MSFU1;MSFU2;MSFU3;MSFU4;MSFU5;MSFU6;MSFU7;MSFU8;MSFU9;MSFU10;COMF1;COMF2;COMF3;COMF4;COMF5;COMF6;COMF7;COMF8;COMF9;COMF10;COMF11;CI;RSES1;RSES2;RSES3;RSES4;RSES5;RSES6;RSES7;RSES8;RSES9;RSES10;CSS1;CSS2;CSS3;CSS4;CSS5;CSS6;CSS7;CSS8;CSS9;CSS10;CSS11;CSS12;CSS13;CSS14;CSS15;RRS1;RRS2;RRS3;RRS4;RRS5;RRS6;RRS7;RRS8;RRS9;RRS10;RRS11;RRS12;RRS13;RRS14;RRS15;RRS16;RRS17;RRS18;RRS19;RRS20;RRS21;RRS22;CI2;DASS1;DASS2;DASS3;DASS4;DASS5;DASS6;DASS7;DASS8;DASS9;DASS10;DASS11;DASS12;DASS13;DASS14;DASS15;DASS16;DASS17;DASS18;DASS19;DASS20;DASS21;FBI;MSFUP;MSFUaprivate;MSFUapublic;COMF;CSS;RSES;RRS;DASS_stress;DASS_anxiety;DASS_depression
4;4;4;4;3;5;115;40;7;4;3;3;3;7;7;3;3;2;4;3;4;1;4;4;5;4;4;4;4;1;2;1;2;2;2;1;2;0;1;2;4;4;4;4;5;2;4;3;5;4;4;4;4;2;4;2;2;3;3;1;2;3;2;2;2;1;1;2;2;3;2;2;2;2;2;1;1;4;2;1;1;1;1;0;0;0;1;1;0;2;0;0;0;0;0;0;0;1;0;24;13;14;8;41;57;15;43;4;4;3
4;3;4;2;3;3;447;200;6;3;4;4;3;7;7;2;2;2;2;2;2;2;3;4;2;3;4;3;2;1;1;1;2;2;2;1;2;2;1;1;4;4;4;2;3;3;2;4;3;2;4;4;4;3;4;2;2;3;3;3;3;3;3;3;3;3;1;3;3;2;3;2;3;3;3;1;1;4;1;2;1;2;2;2;0;2;1;1;2;2;1;1;2;1;1;1;2;1;3;19;14;14;6;29;50;15;56;11;10;10
1;3;1;1;1;1;200;1;4;2;2;2;1;1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;5;2;4;2;3;4;2;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;7;2;6;11;41;30;23;0;0;0
4;3;4;2;4;4;70;30;7;5;2;6;2;5;5;2;2;2;2;3;4;4;4;5;1;3;4;1;2;1;0;0;1;1;0;0;0;0;0;0;3;2;3;2;2;1;3;2;1;2;2;2;3;2;4;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;21;15;10;6;33;34;2;23;2;0;0
4;3;4;4;2;4;169;120;7;6;5;6;4;3;3;5;5;5;4;4;5;4;4;3;3;4;5;3;4;1;2;2;2;3;2;1;2;1;2;2;4;3;3;4;4;4;4;5;4;3;3;3;4;4;4;3;2;1;2;4;3;3;3;2;3;2;2;3;3;3;4;3;3;3;3;3;3;4;1;0;2;1;2;3;2;1;0;0;3;2;1;0;0;1;0;1;1;0;0;21;21;6;15;43;56;19;61;11;4;6
1;2;2;1;1;1;50;5;5;4;2;3;2;7;7;2;2;2;1;4;1;1;1;1;1;1;5;1;1;1;2;1;2;2;1;2;2;2;2;1;5;3;4;2;4;2;2;4;5;2;3;4;3;3;3;2;1;3;3;1;3;2;1;3;1;2;1;2;3;1;3;2;3;3;1;1;1;4;2;1;1;0;2;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;8;11;14;6;18;49;17;43;4;1;5
5;3;5;5;5;5;300;60;1;4;1;4;1;7;7;1;2;2;4;2;4;1;1;5;1;1;1;4;4;1;3;1;2;2;2;1;3;1;3;2;5;4;4;5;5;5;5;5;5;5;5;5;2;1;5;2;4;3;1;1;2;3;1;1;2;2;1;4;1;2;2;2;1;3;2;2;3;4;2;3;0;0;2;3;0;2;0;0;0;0;1;1;0;0;0;1;0;0;0;28;10;14;5;28;66;20;45;9;3;3
4;3;4;2;3;4;400;300;7;5;4;6;3;7;5;3;2;3;4;4;3;2;4;4;3;4;5;3;2;1;1;1;1;1;1;1;1;0;1;1;4;4;2;4;5;4;4;5;3;2;5;3;4;4;4;3;2;2;1;3;3;4;3;3;4;2;1;3;2;3;4;4;3;3;1;2;2;4;1;2;2;0;2;3;1;2;1;2;2;2;2;2;1;3;1;2;0;2;3;20;18;12;8;38;57;9;58;14;7;15
4;3;3;1;3;2;276;15;6;5;4;5;4;6;6;2;2;2;2;2;2;4;3;2;2;4;3;2;3;1;3;3;3;3;2;2;3;2;3;3;4;2;4;3;3;2;2;4;3;2;2;2;2;2;3;2;1;2;2;2;1;1;1;1;1;1;2;2;2;1;2;1;2;1;1;2;1;4;0;1;0;1;1;0;0;1;0;0;1;1;1;0;0;1;0;0;1;0;0;16;18;12;6;29;40;27;32;3;3;3
4;2;4;4;4;2;25;10;7;2;2;3;3;2;2;3;1;3;4;4;5;4;4;4;4;4;4;5;2;1;2;2;3;3;3;3;3;3;3;3;5;2;5;2;4;5;2;4;5;1;4;5;2;4;2;4;3;3;4;3;4;2;4;3;2;3;1;2;3;2;2;3;1;3;2;4;2;4;1;0;1;0;1;2;0;0;0;0;2;2;2;2;0;2;0;2;0;0;0;20;10;4;7;44;52;28;60;11;0;6
